Domain name,CNAME name,Type,CNAME value
tadaro.ai,_257e2c9c98be272ee40f8a409138344b.tadaro.ai.,CNAME,_4eff23e4d9b1b015cee408fe686a1d36.xlfgrmvvlj.acm-validations.aws.
*.tadaro.ai,_257e2c9c98be272ee40f8a409138344b.tadaro.ai.,CNAME,_4eff23e4d9b1b015cee408fe686a1d36.xlfgrmvvlj.acm-validations.aws.
